MO_Energy_eV,Cl-Hg,Cl-Se,Hg-Se
-8.511981248285496,0.03606115563934921,-0.002815983480491606,-0.08681111018486125
-8.508358677748712,0.037523486040465195,-0.0028079281442191894,-0.07749923357420062
-8.506621952164844,0.04461727203418078,-0.0029489600657870135,-0.06319614552582682
-8.50261921097095,0.026167778885683463,-0.0018396066896978558,-0.06849342685481935
-8.49956681777829,0.045208040830717756,-0.0029047397783360197,-0.06250374502229487
-8.498880647332198,0.043215588917400447,-0.0028037546046783164,-0.06652686896865287
-8.495500154626095,0.045887788738549866,-0.003028492705945707,-0.06820231018332211
-8.492852047918205,0.03753197780707388,-0.0025345350610548605,-0.06385072518843285
-8.492108496437574,0.045231853080825155,-0.002936389672936777,-0.05511294698942041
-8.486535640931676,0.04190778484837251,-0.0027392393357113264,-0.05192931654880796
-8.483370545272853,0.04182796733303041,-0.002799948200231247,-0.0714363350597466
-8.481443673600248,0.029737933333765638,-0.002186006699673918,-0.07196500764120865
-8.477778891313404,0.04571575070660895,-0.003098232418434956,-0.06943603476132926
-8.475640327831918,0.04407008479395858,-0.0028131923721360164,-0.06386885570141208
-8.472495188382595,0.032748559035336765,-0.0020028442497169886,-0.06849407008006286
-8.470331408528939,0.03233401205652033,-0.00185598053561727,-0.06592772462527853
-8.464181501392806,0.03526876460916697,-0.002261575333351212,-0.06732884955446201
-8.46272450983892,0.03327698523809206,-0.002209144077579001,-0.06221463774681018
-8.460845312597595,0.03769995296442682,-0.002404300678012931,-0.061358145175362366
-8.45579099730755,0.031091249105013714,-0.001957347691217005,-0.06566867941235154
-8.449740955203756,0.032526881581570126,-0.0021176563205618473,-0.061026466370268186
-8.447541585819843,0.029186808827666996,-0.0022197347727178443,-0.08486685450651532
-8.444248124331446,0.030736043707366087,-0.002028701160998442,-0.06924301337382632
-8.441901341807503,0.0304420384762923,-0.0020042953375764582,-0.07092443540089198
-8.44098624410269,0.028407872178897158,-0.00215885309567885,-0.06911324533502942
-8.437323031016485,0.03158535590010643,-0.0020536344537408807,-0.0778529994724169
-8.434531237545661,0.026235995825908222,-0.0020326655902673475,-0.08068294527281775
-8.430019494793697,0.029948361276607768,-0.001785884524696662,-0.07444692135108773
-8.424889308091036,0.02963676607676053,-0.0018760064177315032,-0.07802189293382635
-8.421639229051125,0.033500503246912124,-0.0021257298534391343,-0.07837326320931995
-8.414246548828338,0.033555729219473085,-0.0021481367252308495,-0.07591405032185802
-8.412424415081082,0.0314183883248324,-0.002236512354314417,-0.08769723084908422
-8.408237426683916,0.031743713523961645,-0.0021344550501793736,-0.07637595390736494
-8.401840560812365,0.032935777551497396,-0.0020091527026675424,-0.07254940098724467
-8.400496381286464,0.032408113355588034,-0.002208788790735823,-0.07680577787399899
-8.389017770341724,0.03238803504908206,-0.0022422333026972264,-0.081371779212015
-8.385908742513061,0.035232547945352355,-0.002398964129546142,-0.07789775572708127
-8.384883660778472,0.033127470613650394,-0.00219071266701024,-0.08881552494647584
-8.382119745107667,0.03156814667387941,-0.0021941046424279755,-0.07694914494644439
-8.37853686589214,0.031662764363610305,-0.0017550325203926271,-0.0673123917823286
-8.37336830352341,0.03179411493211066,-0.002191511651661623,-0.07835854025105304
-8.369503581118487,0.030067533377908354,-0.0018721775978073252,-0.07396290039879899
-8.364576548866356,0.028670942631632914,-0.001784772458547533,-0.07773055551575556
-8.361135853246497,0.027917461987335856,-0.0016684969743357694,-0.08038944254878772
-8.355529778835924,0.02919750799175325,-0.0018500660352405256,-0.08209844634156077
-8.347996855318952,0.037191779520968166,-0.002105785511568359,-0.07115421192507213
-8.342848207664785,0.03022726350446063,-0.0018615122477030808,-0.08258295461453526
-8.338572600366641,0.03619813310796347,-0.00210580640348257,-0.07371038943030038
-8.336755561126688,0.04404796023644964,-0.0024215155244867123,-0.06695234062450184
-8.320621155689862,0.03046344709049638,-0.0022807974714637073,-0.09439783766957062
-8.316423501955274,0.029771896440043914,-0.002156410634269688,-0.09342861616531471
-8.31220351743207,0.02944659840105005,-0.0023093457128384167,-0.10324140143338756
-8.308792424929784,0.040125610889270816,-0.0023208628770324344,-0.07499073898534522
-8.300953390745022,0.039181629181006185,-0.002166109979434818,-0.07643206224960326
-8.29385330830515,0.027290040911820315,-0.00192770259364877,-0.09187184710893923
-8.292152948356646,0.030137794821045415,-0.0020757078485126716,-0.0891141797611648
-8.290221851011422,0.030173693505282685,-0.002118130115970876,-0.08562861826263232
-8.288573516286002,0.02184436739379563,-0.0016752806911194745,-0.09500006058653686
-8.284773978146974,0.024608294490798096,-0.0018907334435494885,-0.09826807618981892
-8.280093787412424,0.024618675507429924,-0.0017386551763959519,-0.08757468237807821
-8.277058365337085,0.036399305824849806,-0.0022954181744295034,-0.07628119666392225
-8.275331007287267,0.031238948815765617,-0.002074879364155773,-0.07953856937939469
-8.268429001571905,0.030295791568309034,-0.0017763993618499592,-0.08983786839686758
-8.267279776319224,0.02786916572220996,-0.0017999376313984404,-0.08596440967173596
-8.264354242801412,0.024328740460708143,-0.001553898181714498,-0.09250158134081647
-8.258114687563282,0.027409068667350614,-0.001646919550919984,-0.08682591877700123
-8.253984065164907,0.03408495955053643,-0.0020904528039634948,-0.08576500526556191
-8.253617795862338,0.016400548297600678,-0.0012175988071797422,-0.10947837850485591
-8.251175660352608,0.022247423555091895,-0.0015038940581382479,-0.10500018639039761
-8.246294235693608,0.030767355271271956,-0.002069800051685372,-0.08971423825339278
-8.239460868571621,0.026074606625978044,-0.0017313098121966336,-0.09747519798541056
-8.230333168290509,0.035774584225096814,-0.0018243477342918023,-0.07969312942549407
-8.228692007666345,0.013488897691171748,-0.0008850066192677075,-0.1033102959981812
-8.22468649325594,0.02825118616928823,-0.0016304287896321645,-0.09311801074955355
-8.218188591478947,0.03947350901291055,-0.0022297401830388796,-0.08378406253100246
-8.213997918553316,0.029551118642715014,-0.0016629161348183123,-0.09407242262969237
-8.213343939638959,0.02254105788637392,-0.0016714783567086675,-0.10880606107318783
-8.209438439493915,0.03526050750464191,-0.0019162998098340115,-0.08875086269578278
-8.207067230235431,0.027619373785223243,-0.0018698600213796495,-0.1013474443480172
-8.20279780720109,0.041473913140397466,-0.00210235663565543,-0.07840585768033093
-8.19226168033427,0.04235341212018648,-0.0023340984126320463,-0.07529134056022557
